year,real_home_price_index
1970,31.85
1971,33.52
1972,35.3
1973,38.95
1974,41.35
1975,39.79
1976,39.15
1977,37.68
1978,36.69
1979,38.04
1980,39.04
1981,41.07
1982,38.23
1983,36.69
1984,39.34
1985,40.63
1986,39.41
1987,37.81
1988,43.16
1989,50.12
1990,47.43
1991,47.13
1992,47.42
1993,47.81
1994,48.58
1995,47.0
1996,46.15
1997,47.88
1998,50.97
1999,53.85
2000,55.86
2001,59.48
2002,68.59
2003,78.81
2004,81.84
2005,81.15
2006,83.76
2007,90.46
2008,90.16
2009,92.13
2010,100.0
2011,94.73
2012,92.78
2013,96.54
2014,102.74
2015,110.34
2016,114.94
2017,122.17
2018,118.15
2019,111.53
2020,116.56
2021,133.0
2022,135.21
2023,127.67
2024,133.5
2025,136.75
