state_code,state,state_name,population_2024,births_2024,tfr_2024,lon,lat,birth_share,birth_share_label,pie_dx,pie_dy,pie_radius,slice,slice_value,start_angle,end_angle
1,NSW,New South Wales,8484357,89030,1.58,147,-32.2,0.304566,30.5%,0,13,23,birth_share,0.304566,-0.250000,1.663642
1,NSW,New South Wales,8484357,89030,1.58,147,-32.2,0.304566,30.5%,0,13,23,remaining_share,0.695434,1.663642,6.033185
2,VIC,Victoria,6981352,81193,1.48,144.3,-37,0.277756,27.8%,-40,65,23,birth_share,0.277756,-0.250000,1.495191
2,VIC,Victoria,6981352,81193,1.48,144.3,-37,0.277756,27.8%,-40,65,23,remaining_share,0.722244,1.495191,6.033185
3,QLD,Queensland,5586322,58838,1.59,144.6,-22,0.201281,20.1%,0,0,29,birth_share,0.201281,-0.250000,1.014685
3,QLD,Queensland,5586322,58838,1.59,144.6,-22,0.201281,20.1%,0,0,29,remaining_share,0.798719,1.014685,6.033185
4,SA,South Australia,1878029,18444,1.53,135,-30.1,0.063096,6.3%,15,8,29,birth_share,0.063096,-0.250000,0.146442
4,SA,South Australia,1878029,18444,1.53,135,-30.1,0.063096,6.3%,15,8,29,remaining_share,0.936904,0.146442,6.033185
5,WA,Western Australia,2965159,30541,1.55,121,-26,0.104479,10.4%,0,0,29,birth_share,0.104479,-0.250000,0.406459
5,WA,Western Australia,2965159,30541,1.55,121,-26,0.104479,10.4%,0,0,29,remaining_share,0.895521,0.406459,6.033185
6,TAS,Tasmania,575366,5509,1.50,147,-42,0.018846,1.9%,57,-10,23,birth_share,0.018846,-0.250000,-0.131588
6,TAS,Tasmania,575366,5509,1.50,147,-42,0.018846,1.9%,57,-10,23,remaining_share,0.981154,-0.131588,6.033185
7,NT,Northern Territory,255100,3521,1.64,133.4,-19.4,0.012045,1.2%,0,0,29,birth_share,0.012045,-0.250000,-0.174318
7,NT,Northern Territory,255100,3521,1.64,133.4,-19.4,0.012045,1.2%,0,0,29,remaining_share,0.987955,-0.174318,6.033185
8,ACT,Australian Capital Territory,474132,5218,1.34,149.1,-35.3,0.017850,1.8%,80,18,23,birth_share,0.017850,-0.250000,-0.137842
8,ACT,Australian Capital Territory,474132,5218,1.34,149.1,-35.3,0.017850,1.8%,80,18,23,remaining_share,0.982150,-0.137842,6.033185
