lga_code,lga_name,state,population_2024,births_2024,tfr_2024
10050,Albury,NSW,58317,782,1.93
10180,Armidale,NSW,29646,313,1.68
10250,Ballina,NSW,47935,426,1.74
10300,Balranald,NSW,2219,26,2.44
10470,Bathurst,NSW,44939,516,1.92
10500,Bayside (NSW),NSW,185880,1977,1.27
10550,Bega Valley,NSW,36593,282,2.03
10600,Bellingen,NSW,13278,119,2.11
10650,Berrigan,NSW,8666,89,2.38
10750,Blacktown,NSW,438843,5651,1.78
10800,Bland,NSW,5454,71,2.99
10850,Blayney,NSW,7767,94,2.31
10900,Blue Mountains,NSW,78891,627,1.72
10950,Bogan,NSW,2407,31,2.69
11150,Bourke,NSW,2349,55,3.09
11200,Brewarrina,NSW,1408,14,2.29
11250,Broken Hill,NSW,17541,211,2.13
11300,Burwood,NSW,43346,309,0.90
11350,Byron,NSW,37826,346,1.23
11400,Cabonne,NSW,13897,137,2.31
11450,Camden,NSW,141133,2213,2.02
11500,Campbelltown (NSW),NSW,188303,2529,1.91
11520,Canada Bay,NSW,92255,934,1.28
11570,Canterbury-Bankstown,NSW,385242,4768,1.75
11600,Carrathool,NSW,2767,34,2.22
11650,Central Coast (NSW),NSW,354803,3539,1.87
11700,Central Darling,NSW,1767,26,2.30
11720,Cessnock,NSW,69352,917,2.02
11730,Clarence Valley,NSW,56037,475,2.17
11750,Cobar,NSW,4015,54,2.51
11800,Coffs Harbour,NSW,81248,823,1.89
12000,Coolamon,NSW,4613,64,2.53
12150,Coonamble,NSW,3871,63,3.48
12160,Cootamundra-Gundagai,NSW,11424,103,2.43
12350,Cowra,NSW,12680,131,2.15
12380,Cumberland,NSW,252399,3324,1.72
12390,Dubbo,NSW,56997,790,2.21
12700,Dungog,NSW,9905,88,1.89
12730,Edward River,NSW,8411,128,2.39
12750,Eurobodalla,NSW,41142,314,2.11
12850,Fairfield,NSW,212210,1962,1.50
12870,Federation,NSW,13075,136,2.48
12900,Forbes,NSW,9295,104,2.44
12930,Georges River,NSW,161593,1493,1.28
12950,Gilgandra,NSW,4305,53,3.36
13010,Glen Innes Severn,NSW,8978,88,2.19
13310,Goulburn Mulwaree,NSW,33112,381,2.08
13340,Greater Hume,NSW,11582,144,2.47
13450,Griffith,NSW,27340,411,2.27
13550,Gunnedah,NSW,13392,186,2.32
13660,Gwydir,NSW,4893,48,2.87
13800,Hawkesbury,NSW,68704,809,1.96
13850,Hay,NSW,2861,50,2.82
13910,Hilltops,NSW,19300,211,2.39
14000,Hornsby,NSW,154834,1051,1.34
14100,Hunters Hill,NSW,14062,86,1.48
14170,Inner West,NSW,190939,1842,1.10
14220,Inverell,NSW,18080,212,2.52
14300,Junee,NSW,6458,60,2.25
14350,Kempsey,NSW,31718,309,2.46
14400,Kiama,NSW,23173,171,1.59
14500,Ku-ring-gai,NSW,128362,666,1.13
14550,Kyogle,NSW,9582,114,2.71
14600,Lachlan,NSW,6113,95,2.94
14650,Lake Macquarie,NSW,221859,2291,1.83
14700,Lane Cove,NSW,42566,450,1.33
14750,Leeton,NSW,11438,115,2.12
14850,Lismore,NSW,43783,439,1.95
14870,Lithgow,NSW,20740,192,2.08
14900,Liverpool,NSW,254905,3183,1.76
14920,Liverpool Plains,NSW,7670,80,2.42
14950,Lockhart,NSW,3474,29,2.13
15050,Maitland,NSW,98163,1217,1.88
15240,Mid-Coast,NSW,98582,777,2.21
15270,Mid-Western,NSW,26214,289,2.30
15300,Moree Plains,NSW,12816,168,2.44
15350,Mosman,NSW,29253,217,1.26
15520,Murray River,NSW,13562,116,1.95
15560,Murrumbidgee,NSW,3658,53,2.77
15650,Muswellbrook,NSW,16817,203,2.13
15700,Nambucca Valley,NSW,20986,178,2.50
15750,Narrabri,NSW,12796,140,2.56
15800,Narrandera,NSW,5687,61,2.42
15850,Narromine,NSW,6432,86,2.70
15900,Newcastle,NSW,176860,1867,1.43
15950,North Sydney,NSW,72909,707,1.06
15990,Northern Beaches,NSW,270772,2308,1.52
16100,Oberon,NSW,5604,50,2.25
16150,Orange,NSW,44610,571,1.95
16200,Parkes,NSW,14236,165,2.25
16260,Parramatta,NSW,274956,2914,1.20
16350,Penrith,NSW,228661,3050,1.84
16380,Port Macquarie-Hastings,NSW,90835,755,1.80
16400,Port Stephens,NSW,78906,683,1.90
16490,Queanbeyan-Palerang,NSW,66855,910,2.02
16550,Randwick,NSW,144598,1379,1.25
16610,Richmond Valley,NSW,23892,245,2.19
16700,Ryde,NSW,139047,1338,1.08
16900,Shellharbour,NSW,81566,952,1.90
16950,Shoalhaven,NSW,110803,947,1.97
17000,Singleton,NSW,25639,287,2.01
17040,Snowy Monaro,NSW,22292,192,1.55
17080,Snowy Valleys,NSW,14955,137,2.07
17100,Strathfield,NSW,48495,433,1.05
17150,Sutherland,NSW,238614,2386,1.72
17200,Sydney,NSW,237278,1677,0.73
17310,Tamworth,NSW,65908,775,2.11
17350,Temora,NSW,6023,60,2.87
17400,Tenterfield,NSW,7081,62,2.87
17420,The Hills,NSW,215612,1913,1.48
17550,Tweed,NSW,99793,918,1.98
17620,Upper Hunter,NSW,14408,154,1.98
17640,Upper Lachlan,NSW,8875,76,2.00
17650,Uralla,NSW,6096,61,2.00
17750,Wagga Wagga,NSW,68951,908,1.97
17850,Walcha,NSW,2990,17,2.26
17900,Walgett,NSW,5497,95,3.26
17950,Warren,NSW,2593,34,3.24
18020,Warrumbungle,NSW,9239,88,2.64
18050,Waverley,NSW,72857,788,1.11
18100,Weddin,NSW,3608,29,2.21
18200,Wentworth,NSW,7804,108,2.61
18250,Willoughby,NSW,79634,568,0.98
18350,Wingecarribee,NSW,53552,415,1.94
18400,Wollondilly,NSW,59782,787,2.25
18450,Wollongong,NSW,221894,2208,1.61
18500,Woollahra,NSW,55175,480,1.12
18710,Yass Valley,NSW,17647,163,2.01
19399,Unincorporated NSW,NSW,984,11,N/P
19499,No usual address (NSW),NSW,N/P,N/P,N/P
19799,Migratory - Offshore - Shipping (NSW),NSW,N/P,N/P,N/P
20110,Alpine,VIC,13199,112,1.67
20260,Ararat,VIC,11686,103,1.85
20570,Ballarat,VIC,121050,1516,1.68
20660,Banyule,VIC,131931,1478,1.53
20740,Bass Coast,VIC,43557,405,1.85
20830,Baw Baw,VIC,61905,839,1.99
20910,Bayside (Vic.),VIC,106118,764,1.46
21010,Benalla,VIC,14635,148,1.91
21110,Boroondara,VIC,178008,1181,1.04
21180,Brimbank,VIC,198152,2370,1.55
21270,Buloke,VIC,5956,53,2.42
21370,Campaspe,VIC,38153,409,2.09
21450,Cardinia,VIC,130383,2050,1.93
21610,Casey,VIC,405415,6152,1.86
21670,Central Goldfields,VIC,13704,135,1.95
21750,Colac Otway,VIC,22300,224,1.90
21830,Corangamite,VIC,15846,162,2.18
21890,Darebin,VIC,159963,1762,1.13
22110,East Gippsland,VIC,49422,451,1.96
22170,Frankston,VIC,144615,1888,1.80
22250,Gannawarra,VIC,10404,103,2.65
22310,Glen Eira,VIC,161057,1533,1.19
22410,Glenelg,VIC,20007,177,2.03
22490,Golden Plains,VIC,26337,288,2.04
22620,Greater Bendigo,VIC,125805,1503,1.75
22670,Greater Dandenong,VIC,167298,2091,1.51
22750,Greater Geelong,VIC,289565,3688,1.75
22830,Greater Shepparton,VIC,69874,980,2.00
22910,Hepburn,VIC,16824,124,1.89
22980,Hindmarsh,VIC,5464,54,2.11
23110,Hobsons Bay,VIC,95633,1183,1.60
23190,Horsham,VIC,20376,258,1.92
23270,Hume,VIC,271709,4405,1.92
23350,Indigo,VIC,17788,183,2.34
23430,Kingston (Vic.),VIC,166521,1664,1.46
23670,Knox,VIC,163302,1531,1.42
23810,Latrobe (Vic.),VIC,78845,968,1.89
23940,Loddon,VIC,7755,59,1.97
24130,Macedon Ranges,VIC,53738,517,2.04
24210,Manningham,VIC,131761,992,1.20
24250,Mansfield,VIC,10782,82,1.54
24330,Maribyrnong,VIC,94251,1148,1.16
24410,Maroondah,VIC,119354,1357,1.51
24600,Melbourne,VIC,189381,1030,0.54
24650,Melton,VIC,219697,4037,2.10
24700,Merri-bek,VIC,186534,2324,1.19
24780,Mildura,VIC,57626,751,1.91
24850,Mitchell,VIC,56384,871,2.07
24900,Moira,VIC,30836,341,2.17
24970,Monash,VIC,209268,1629,1.09
25060,Moonee Valley,VIC,129732,1255,1.21
25150,Moorabool,VIC,39814,545,1.98
25340,Mornington Peninsula,VIC,171450,1392,1.73
25430,Mount Alexander,VIC,20799,139,1.79
25490,Moyne,VIC,17717,199,2.25
25620,Murrindindi,VIC,15603,132,1.88
25710,Nillumbik,VIC,63693,571,1.78
25810,Northern Grampians,VIC,11808,142,1.94
25900,Port Phillip,VIC,112669,1000,0.87
25990,Pyrenees,VIC,7958,59,1.83
26080,Queenscliffe,VIC,3302,17,2.09
26170,South Gippsland,VIC,31022,281,2.10
26260,Southern Grampians,VIC,16525,179,2.11
26350,Stonnington,VIC,114038,851,0.83
26430,Strathbogie,VIC,11739,106,1.87
26490,Surf Coast,VIC,39928,373,1.75
26610,Swan Hill,VIC,21094,322,2.12
26670,Towong,VIC,6237,58,2.34
26700,Wangaratta,VIC,30169,295,1.80
26730,Warrnambool,VIC,36150,419,1.73
26810,Wellington,VIC,46533,504,2.06
26890,West Wimmera,VIC,3913,42,2.68
26980,Whitehorse,VIC,183462,1375,1.05
27070,Whittlesea,VIC,253204,3547,1.70
27170,Wodonga,VIC,44824,600,1.91
27260,Wyndham,VIC,337009,5828,1.92
27350,Yarra,VIC,100706,941,0.84
27450,Yarra Ranges,VIC,160137,1879,1.81
27630,Yarriambiack,VIC,6346,69,2.69
29399,Unincorporated Vic,VIC,964,0,N/P
29499,No usual address (Vic.),VIC,N/P,N/P,N/P
29799,Migratory - Offshore - Shipping (Vic.),VIC,N/P,N/P,N/P
30250,Aurukun,QLD,1163,32,2.82
30300,Balonne,QLD,4356,68,2.15
30370,Banana,QLD,15053,196,2.00
30410,Barcaldine,QLD,2917,57,2.65
30450,Barcoo,QLD,317,3,N/P
30760,Blackall Tambo,QLD,1969,26,2.85
30900,Boulia,QLD,479,10,N/P
31000,Brisbane,QLD,1355640,12514,1.19
31750,Bulloo,QLD,347,6,N/P
31820,Bundaberg,QLD,106146,965,1.79
31900,Burdekin,QLD,17204,175,2.04
31950,Burke,QLD,444,4,N/P
32080,Cairns,QLD,178104,1950,1.64
32250,Carpentaria,QLD,2229,36,2.03
32260,Cassowary Coast,QLD,30390,293,2.18
32270,Central Highlands (Qld),QLD,29336,433,2.03
32310,Charters Towers,QLD,12040,108,2.00
32330,Cherbourg,QLD,1281,37,3.99
32450,Cloncurry,QLD,3882,61,1.83
32500,Cook,QLD,4824,39,1.87
32600,Croydon,QLD,270,4,N/P
32750,Diamantina,QLD,271,3,N/P
32770,Doomadgee,QLD,1473,29,3.40
32810,Douglas,QLD,13071,111,1.51
33100,Etheridge,QLD,727,13,N/P
33200,Flinders (Qld),QLD,1552,24,2.41
33220,Fraser Coast,QLD,120685,932,1.88
33360,Gladstone,QLD,68065,771,1.98
33430,Gold Coast,QLD,681389,6566,1.43
33610,Goondiwindi,QLD,10495,157,2.51
33620,Gympie,QLD,57449,552,2.14
33800,Hinchinbrook,QLD,11162,99,2.07
33830,Hope Vale,QLD,1053,37,3.95
33960,Ipswich,QLD,259886,3784,1.95
33980,Isaac,QLD,23197,277,1.69
34420,Kowanyama,QLD,1151,19,2.97
34530,Livingstone,QLD,42849,383,1.90
34570,Lockhart River,QLD,688,21,N/P
34580,Lockyer Valley,QLD,45054,506,1.71
34590,Logan,QLD,392339,5590,2.02
34710,Longreach,QLD,3758,47,1.60
34770,Mackay,QLD,128361,1458,1.92
34800,McKinlay,QLD,852,10,N/P
34830,Mapoon,QLD,485,6,N/P
34860,Maranoa,QLD,13371,189,2.37
34880,Mareeba,QLD,24003,254,2.13
35010,Moreton Bay,QLD,522494,5498,1.72
35250,Mornington,QLD,1087,24,2.63
35300,Mount Isa,QLD,18788,313,2.30
