year,age_group,age_start,sex,population
2024,0-4,0,Female,747934
2024,0-4,0,Male,787606
2024,5-9,5,Female,785102
2024,5-9,5,Male,831674
2024,10-14,10,Female,816362
2024,10-14,10,Male,861955
2024,15-19,15,Female,810615
2024,15-19,15,Male,862298
2024,20-24,20,Female,826979
2024,20-24,20,Male,887045
2024,25-29,25,Female,899687
2024,25-29,25,Male,929022
2024,30-34,30,Female,991408
2024,30-34,30,Male,971458
2024,35-39,35,Female,988443
2024,35-39,35,Male,965119
2024,40-44,40,Female,927324
2024,40-44,40,Male,909395
2024,45-49,45,Female,824260
2024,45-49,45,Male,800790
2024,50-54,50,Female,859103
2024,50-54,50,Male,832661
2024,55-59,55,Female,789251
2024,55-59,55,Male,758199
2024,60-64,60,Female,800275
2024,60-64,60,Male,758467
2024,65-69,65,Female,716987
2024,65-69,65,Male,663990
2024,70-74,70,Female,620189
2024,70-74,70,Male,567628
2024,75-79,75,Female,511619
2024,75-79,75,Male,467814
2024,80-84,80,Female,330642
2024,80-84,80,Male,285219
2024,85+,85,Female,350458
2024,85+,85,Male,234788
2054,0-4,0,Female,870661
2054,0-4,0,Male,917785
2054,5-9,5,Female,903139
2054,5-9,5,Male,951072
2054,10-14,10,Female,917025
2054,10-14,10,Male,964775
2054,15-19,15,Female,928596
2054,15-19,15,Male,976107
2054,20-24,20,Female,1004756
2054,20-24,20,Male,1061144
2054,25-29,25,Female,1068730
2054,25-29,25,Male,1116467
2054,30-34,30,Female,1122497
2054,30-34,30,Male,1149074
2054,35-39,35,Female,1165982
2054,35-39,35,Male,1188426
2054,40-44,40,Female,1198956
2054,40-44,40,Male,1213068
2054,45-49,45,Female,1176642
2054,45-49,45,Male,1190915
2054,50-54,50,Female,1086015
2054,50-54,50,Male,1086850
2054,55-59,55,Female,1079496
2054,55-59,55,Male,1041856
2054,60-64,60,Female,1110607
2054,60-64,60,Male,1031571
2054,65-69,65,Female,1057909
2054,65-69,65,Male,971043
2054,70-74,70,Female,946520
2054,70-74,70,Male,858155
2054,75-79,75,Female,790678
2054,75-79,75,Male,691208
2054,80-84,80,Female,721313
2054,80-84,80,Male,602593
2054,85+,85,Female,948842
2054,85+,85,Male,689837
