year,age_group,age_start,sex,population
2024,0-4,0,Female,747934
2024,0-4,0,Male,787606
2024,5-9,5,Female,785102
2024,5-9,5,Male,831674
2024,10-14,10,Female,816362
2024,10-14,10,Male,861955
2024,15-19,15,Female,810615
2024,15-19,15,Male,862298
2024,20-24,20,Female,826979
2024,20-24,20,Male,887045
2024,25-29,25,Female,899687
2024,25-29,25,Male,929022
2024,30-34,30,Female,991408
2024,30-34,30,Male,971458
2024,35-39,35,Female,988443
2024,35-39,35,Male,965119
2024,40-44,40,Female,927324
2024,40-44,40,Male,909395
2024,45-49,45,Female,824260
2024,45-49,45,Male,800790
2024,50-54,50,Female,859103
2024,50-54,50,Male,832661
2024,55-59,55,Female,789251
2024,55-59,55,Male,758199
2024,60-64,60,Female,800275
2024,60-64,60,Male,758467
2024,65-69,65,Female,716987
2024,65-69,65,Male,663990
2024,70-74,70,Female,620189
2024,70-74,70,Male,567628
2024,75-79,75,Female,511619
2024,75-79,75,Male,467814
2024,80-84,80,Female,330642
2024,80-84,80,Male,285219
2024,85+,85,Female,350458
2024,85+,85,Male,234788
2025,0-4,0,Female,754551
2025,0-4,0,Male,794350
2025,5-9,5,Female,784371
2025,5-9,5,Male,829446
2025,10-14,10,Female,820024
2025,10-14,10,Male,867005
2025,15-19,15,Female,834919
2025,15-19,15,Male,885090
2025,20-24,20,Female,842681
2025,20-24,20,Male,903941
2025,25-29,25,Female,900284
2025,25-29,25,Male,934899
2025,30-34,30,Female,995454
2025,30-34,30,Male,979283
2025,35-39,35,Female,1005018
2025,35-39,35,Male,978872
2025,40-44,40,Female,956691
2025,40-44,40,Male,938592
2025,45-49,45,Female,837087
2025,45-49,45,Male,810243
2025,50-54,50,Female,858277
2025,50-54,50,Male,832053
2025,55-59,55,Female,802956
2025,55-59,55,Male,769546
2025,60-64,60,Female,805450
2025,60-64,60,Male,763982
2025,65-69,65,Female,737388
2025,65-69,65,Male,682919
2025,70-74,70,Female,634319
2025,70-74,70,Male,577632
2025,75-79,75,Female,535154
2025,75-79,75,Male,485817
2025,80-84,80,Female,348559
2025,80-84,80,Male,301164
2025,85+,85,Female,361224
2025,85+,85,Male,245770
2026,0-4,0,Female,758641
2026,0-4,0,Male,798661
2026,5-9,5,Female,782971
2026,5-9,5,Male,827132
2026,10-14,10,Female,827041
2026,10-14,10,Male,874465
2026,15-19,15,Female,850522
2026,15-19,15,Male,900146
2026,20-24,20,Female,864362
2026,20-24,20,Male,924883
2026,25-29,25,Female,903637
2026,25-29,25,Male,944636
2026,30-34,30,Female,993779
2026,30-34,30,Male,982533
2026,35-39,35,Female,1020767
2026,35-39,35,Male,990636
2026,40-44,40,Female,979318
2026,40-44,40,Male,960443
2026,45-49,45,Female,860205
2026,45-49,45,Male,830445
2026,50-54,50,Female,843566
2026,50-54,50,Male,820000
2026,55-59,55,Female,830250
2026,55-59,55,Male,792893
2026,60-64,60,Female,803086
2026,60-64,60,Male,761531
2026,65-69,65,Female,759865
2026,65-69,65,Male,703075
2026,70-74,70,Female,649917
2026,70-74,70,Male,590784
2026,75-79,75,Female,556888
2026,75-79,75,Male,501368
2026,80-84,80,Female,368279
2026,80-84,80,Male,319200
2026,85+,85,Female,372645
2026,85+,85,Male,257114
2027,0-4,0,Female,758274
2027,0-4,0,Male,798939
2027,5-9,5,Female,788546
2027,5-9,5,Male,831476
2027,10-14,10,Female,828307
2027,10-14,10,Male,876353
2027,15-19,15,Female,861078
2027,15-19,15,Male,908736
2027,20-24,20,Female,894001
2027,20-24,20,Male,957174
2027,25-29,25,Female,906654
2027,25-29,25,Male,952207
2027,30-34,30,Female,990434
2027,30-34,30,Male,984587
2027,35-39,35,Female,1033277
2027,35-39,35,Male,999863
2027,40-44,40,Female,997946
2027,40-44,40,Male,975590
2027,45-49,45,Female,886825
2027,45-49,45,Male,858348
2027,50-54,50,Female,832119
2027,50-54,50,Male,807825
2027,55-59,55,Female,854458
2027,55-59,55,Male,814266
2027,60-64,60,Female,800045
2027,60-64,60,Male,757280
2027,65-69,65,Female,779812
2027,65-69,65,Male,722881
2027,70-74,70,Female,667673
2027,70-74,70,Male,605219
2027,75-79,75,Female,562142
2027,75-79,75,Male,502508
2027,80-84,80,Female,401388
2027,80-84,80,Male,347751
2027,85+,85,Female,386413
2027,85+,85,Male,270699
2028,0-4,0,Female,761926
2028,0-4,0,Male,802840
2028,5-9,5,Female,791385
2028,5-9,5,Male,833699
2028,10-14,10,Female,826901
2028,10-14,10,Male,874085
2028,15-19,15,Female,868321
2028,15-19,15,Male,916383
2028,20-24,20,Female,922369
2028,20-24,20,Male,987425
2028,25-29,25,Female,915361
2028,25-29,25,Male,963994
2028,30-34,30,Female,983503
2028,30-34,30,Male,982878
2028,35-39,35,Female,1042583
2028,35-39,35,Male,1009396
2028,40-44,40,Female,1012065
2028,40-44,40,Male,984489
2028,45-49,45,Female,918592
2028,45-49,45,Male,892192
2028,50-54,50,Female,829093
2028,50-54,50,Male,801895
2028,55-59,55,Female,868147
2028,55-59,55,Male,827387
2028,60-64,60,Female,798687
2028,60-64,60,Male,754413
2028,65-69,65,Female,796938
2028,65-69,65,Male,740262
2028,70-74,70,Female,685901
2028,70-74,70,Male,620085
2028,75-79,75,Female,573475
2028,75-79,75,Male,509133
2028,80-84,80,Female,429903
2028,80-84,80,Male,372235
2028,85+,85,Female,400186
2028,85+,85,Male,283145
2029,0-4,0,Female,764882
2029,0-4,0,Male,806000
2029,5-9,5,Female,794780
2029,5-9,5,Male,835788
2029,10-14,10,Female,825343
2029,10-14,10,Male,872962
2029,15-19,15,Female,874072
2029,15-19,15,Male,921710
2029,20-24,20,Female,944607
2029,20-24,20,Male,1009806
2029,25-29,25,Female,927783
2029,25-29,25,Male,979365
2029,30-34,30,Female,977253
2029,30-34,30,Male,981987
2029,35-39,35,Female,1048695
2029,35-39,35,Male,1017210
2029,40-44,40,Female,1026485
2029,40-44,40,Male,995409
2029,45-49,45,Female,947361
2029,45-49,45,Male,922608
2029,50-54,50,Female,834822
2029,50-54,50,Male,803984
2029,55-59,55,Female,871015
2029,55-59,55,Male,831158
2029,60-64,60,Female,805497
2029,60-64,60,Male,758723
2029,65-69,65,Female,808737
2029,65-69,65,Male,751703
2029,70-74,70,Female,705467
2029,70-74,70,Male,638244
2029,75-79,75,Female,586402
2029,75-79,75,Male,517590
2029,80-84,80,Female,451825
2029,80-84,80,Male,388986
2029,85+,85,Female,418555
2029,85+,85,Male,299503
2030,0-4,0,Female,767651
2030,0-4,0,Male,808964
2030,5-9,5,Female,799520
2030,5-9,5,Male,840604
2030,10-14,10,Female,823015
2030,10-14,10,Male,869090
2030,15-19,15,Female,875348
2030,15-19,15,Male,924264
2030,20-24,20,Female,963519
2030,20-24,20,Male,1026609
2030,25-29,25,Female,939477
2030,25-29,25,Male,992552
2030,30-34,30,Female,974745
2030,30-34,30,Male,985650
2030,35-39,35,Female,1050408
2030,35-39,35,Male,1023064
2030,40-44,40,Female,1041413
2030,40-44,40,Male,1007735
2030,45-49,45,Female,975633
2030,45-49,45,Male,950790
2030,50-54,50,Female,846926
2030,50-54,50,Male,812903
2030,55-59,55,Female,869354
2030,55-59,55,Male,830071
2030,60-64,60,Female,817892
2030,60-64,60,Male,769078
2030,65-69,65,Female,812735
2030,65-69,65,Male,756224
2030,70-74,70,Female,724583
2030,70-74,70,Male,655727
2030,75-79,75,Female,599611
2030,75-79,75,Male,526930
2030,80-84,80,Female,472466
2030,80-84,80,Male,404153
2030,85+,85,Female,439118
2030,85+,85,Male,317148
2031,0-4,0,Female,770496
2031,0-4,0,Male,811997
2031,5-9,5,Female,801731
2031,5-9,5,Male,842981
2031,10-14,10,Female,820014
2031,10-14,10,Male,865134
2031,15-19,15,Female,880005
2031,15-19,15,Male,929254
2031,20-24,20,Female,973726
2031,20-24,20,Male,1035681
2031,25-29,25,Female,957135
2031,25-29,25,Male,1009765
2031,30-34,30,Female,974980
2031,30-34,30,Male,993151
2031,35-39,35,Female,1046408
2031,35-39,35,Male,1024356
2031,40-44,40,Female,1055501
2031,40-44,40,Male,1018076
2031,45-49,45,Female,997195
2031,45-49,45,Male,971674
2031,50-54,50,Female,869227
2031,50-54,50,Male,832424
2031,55-59,55,Female,853995
2031,55-59,55,Male,817788
2031,60-64,60,Female,843634
2031,60-64,60,Male,791083
2031,65-69,65,Female,809370
2031,65-69,65,Male,753086
2031,70-74,70,Female,745655
2031,70-74,70,Male,674346
2031,75-79,75,Female,614126
2031,75-79,75,Male,539042
2031,80-84,80,Female,491283
2031,80-84,80,Male,417124
2031,85+,85,Female,460777
2031,85+,85,Male,335921
2032,0-4,0,Female,773616
2032,0-4,0,Male,815326
2032,5-9,5,Female,799461
2032,5-9,5,Male,841299
2032,10-14,10,Female,823958
2032,10-14,10,Male,867799
2032,15-19,15,Female,878853
2032,15-19,15,Male,928614
2032,20-24,20,Female,978805
2032,20-24,20,Male,1038202
2032,25-29,25,Female,982666
2032,25-29,25,Male,1038236
2032,30-34,30,Female,974827
2032,30-34,30,Male,998439
2032,35-39,35,Female,1040696
2032,35-39,35,Male,1024428
2032,40-44,40,Female,1066341
2032,40-44,40,Male,1025853
2032,45-49,45,Female,1014755
2032,45-49,45,Male,985902
2032,50-54,50,Female,894987
2032,50-54,50,Male,859536
2032,55-59,55,Female,841847
2032,55-59,55,Male,805364
2032,60-64,60,Female,866289
2032,60-64,60,Male,811101
2032,65-69,65,Female,805334
2032,65-69,65,Male,748206
2032,70-74,70,Female,764251
2032,70-74,70,Male,692564
2032,75-79,75,Female,630603
2032,75-79,75,Male,552210
2032,80-84,80,Female,496267
2032,80-84,80,Male,418838
2032,85+,85,Female,494740
2032,85+,85,Male,363926
2033,0-4,0,Female,777311
2033,0-4,0,Male,819250
2033,5-9,5,Female,801570
2033,5-9,5,Male,843607
2033,10-14,10,Female,825461
2033,10-14,10,Male,868649
2033,15-19,15,Female,875842
2033,15-19,15,Male,924715
2033,20-24,20,Female,981619
2033,20-24,20,Male,1040920
2033,25-29,25,Female,1007549
2033,25-29,25,Male,1065093
2033,30-34,30,Female,980905
2033,30-34,30,Male,1008359
2033,35-39,35,Female,1031807
2033,35-39,35,Male,1021083
2033,40-44,40,Female,1074234
2033,40-44,40,Male,1034160
2033,45-49,45,Female,1027985
2033,45-49,45,Male,994061
2033,50-54,50,Female,925984
2033,50-54,50,Male,892592
2033,55-59,55,Female,838218
2033,55-59,55,Male,799196
2033,60-64,60,Female,878824
2033,60-64,60,Male,823240
2033,65-69,65,Female,803157
2033,65-69,65,Male,744852
2033,70-74,70,Female,780223
2033,70-74,70,Male,708566
2033,75-79,75,Female,647574
2033,75-79,75,Male,565798
2033,80-84,80,Female,506477
2033,80-84,80,Male,424956
2033,85+,85,Female,523988
2033,85+,85,Male,387257
2034,0-4,0,Female,781521
2034,0-4,0,Male,823708
2034,5-9,5,Female,803367
2034,5-9,5,Male,845573
2034,10-14,10,Female,827820
2034,10-14,10,Male,869670
2034,15-19,15,Female,873232
2034,15-19,15,Male,922539
2034,20-24,20,Female,984106
2034,20-24,20,Male,1042620
2034,25-29,25,Female,1026983
2034,25-29,25,Male,1084631
2034,30-34,30,Female,991276
2034,30-34,30,Male,1022291
2034,35-39,35,Female,1024027
2034,35-39,35,Male,1018927
2034,40-44,40,Female,1079228
2034,40-44,40,Male,1040999
2034,45-49,45,Female,1041687
2034,45-49,45,Male,1004360
2034,50-54,50,Female,954119
2034,50-54,50,Male,922339
2034,55-59,55,Female,843436
2034,55-59,55,Male,801020
2034,60-64,60,Female,880958
2034,60-64,60,Male,826470
2034,65-69,65,Female,809159
2034,65-69,65,Male,748582
