year,scenario,total_population,children_0_14,working_15_64,older_65_plus,oldest_85_plus,children_share,working_share,older_share,oldest_share,old_age_dependency
2024,low,26869019,4803244,17322769,4743006,585147,17.877,64.471,17.652,2.178,27.380
2024,medium,26971766,4830633,17391799,4749334,585246,17.910,64.481,17.609,2.170,27.308
2024,high,27095255,4861641,17476198,4757416,585605,17.943,64.499,17.558,2.161,27.222
2025,low,27235315,4800319,17534786,4900210,606829,17.625,64.383,17.992,2.228,27.946
2025,medium,27395011,4849747,17635318,4909946,606994,17.703,64.374,17.923,2.216,27.842
2025,high,27594464,4906320,17765067,4923077,607618,17.780,64.379,17.841,2.202,27.712
2026,low,27580551,4790979,17723999,5065573,629505,17.371,64.263,18.366,2.282,28.580
2026,medium,27805684,4868911,17857638,5079135,629759,17.510,64.223,18.267,2.265,28.442
2026,high,28086207,4957180,18031305,5097722,630731,17.650,64.200,18.150,2.246,28.272
2027,low,27902964,4769127,17905086,5228751,656740,17.092,64.169,18.739,2.354,29.203
2027,medium,28201094,4881895,18072713,5246486,657112,17.311,64.085,18.604,2.330,29.030
2027,high,28570009,5008262,18289818,5271929,658931,17.530,64.018,18.453,2.306,28.824
2028,low,28204391,4739544,18075871,5388976,682820,16.804,64.089,19.107,2.421,29.813
2028,medium,28581272,4890836,18279173,5411263,683331,17.112,63.955,18.933,2.391,29.603
2028,high,29042054,5058673,18538527,5444854,686518,17.418,63.833,18.748,2.364,29.370
2029,low,28488756,4709272,18239602,5539882,717374,16.530,64.024,19.446,2.518,30.373
2029,medium,28946317,4899755,18479550,5567012,718058,16.927,63.841,19.232,2.481,30.125
2029,high,29500502,5109687,18780768,5610047,723165,17.321,63.663,19.017,2.451,29.871
2030,low,28754774,4678488,18399817,5676469,755370,16.270,63.989,19.741,2.627,30.851
2030,medium,29294970,4908844,18677431,5708695,756266,16.757,63.756,19.487,2.582,30.565
2030,high,29944100,5161500,19020233,5762367,763873,17.237,63.519,19.244,2.551,30.296
2031,low,29003323,4641445,18558743,5803135,795552,16.003,63.988,20.009,2.743,31.269
2031,medium,29628141,4912353,18875058,5840730,796698,16.580,63.707,19.713,2.689,30.944
2031,high,30373698,5208340,19259123,5906235,807426,17.148,63.407,19.445,2.658,30.667
2032,low,29232681,4609375,18699591,5923715,857231,15.768,63.968,20.264,2.932,31.678
2032,medium,29944139,4921459,19055741,5966939,858666,16.435,63.638,19.927,2.868,31.313
2032,high,30788281,5261333,19480931,6046017,873648,17.089,63.274,19.637,2.838,31.036
2033,low,29455940,4582151,18829940,6043849,909477,15.556,63.926,20.518,3.088,32.097
2033,medium,30255082,4935848,19226386,6092848,911245,16.314,63.548,20.138,3.012,31.690
2033,high,31200900,5320267,19693420,6187213,931459,17.052,63.118,19.830,2.985,31.418
2034,low,29673319,4555836,18948058,6169425,955677,15.353,63.856,20.791,3.221,32.560
2034,medium,30561214,4951659,19385248,6224307,957832,16.202,63.431,20.367,3.134,32.108
2034,high,31611780,5381334,19894834,6335612,984280,17.023,62.935,20.042,3.114,31.846
2035,low,29885092,4535441,19057391,6292260,1001094,15.176,63.769,21.055,3.350,33.017
2035,medium,30862815,4974004,19535720,6353091,1003708,16.116,63.299,20.585,3.252,32.520
2035,high,32021148,5449745,20088478,6482925,1037471,17.019,62.735,20.246,3.240,32.272
2036,low,30091582,4512374,19149357,6429851,1043912,14.995,63.637,21.368,3.469,33.577
2036,medium,31160201,4994377,19669135,6496689,1047061,16.028,63.123,20.849,3.360,33.030
2036,high,32429254,5517133,20265502,6646619,1089226,17.013,62.491,20.496,3.359,32.798
2037,low,30292784,4483283,19252154,6557347,1083098,14.800,63.554,21.647,3.575,34.060
2037,medium,31453335,5009702,19813400,6630233,1086862,15.927,62.993,21.080,3.455,33.463
2037,high,32836248,5580700,20453548,6802000,1138522,16.996,62.290,20.715,3.467,33.256
2038,low,30488939,4467160,19355189,6666590,1121855,14.652,63.483,21.866,3.680,34.443
2038,medium,31742414,5035877,19960981,6745556,1126329,15.865,62.884,21.251,3.548,33.794
2038,high,33242207,5653321,20648039,6940847,1188680,17.006,62.114,20.880,3.576,33.615
2039,low,30680281,4457803,19460182,6762296,1157511,14.530,63.429,22.041,3.773,34.749
2039,medium,32027609,5063411,20116833,6847365,1162791,15.810,62.811,21.380,3.631,34.038
2039,high,33647144,5722058,20857307,7067779,1236927,17.006,61.988,21.006,3.676,33.886
2040,low,30866912,4456181,19563764,6846967,1193329,14.437,63.381,22.182,3.866,34.998
2040,medium,32308944,5093200,20277577,6938167,1199515,15.764,62.761,21.474,3.713,34.216
2040,high,34050838,5787416,21078201,7185221,1286575,16.996,61.902,21.101,3.778,34.088
2041,low,31048868,4462505,19663315,6923048,1229804,14.373,63.330,22.297,3.961,35.208
2041,medium,32586368,5125300,20440649,7020419,1236995,15.728,62.728,21.544,3.796,34.345
2041,high,34453048,5849220,21308289,7295539,1338098,16.977,61.847,21.175,3.884,34.238
2042,low,31226136,4476777,19755994,6993365,1265652,14.337,63.267,22.396,4.053,35.399
2042,medium,32859780,5159586,20603240,7096954,1273964,15.702,62.700,21.598,3.877,34.446
2042,high,34853582,5907086,21544913,7401583,1390410,16.948,61.815,21.236,3.989,34.354
2043,low,31398665,4495481,19842282,7060902,1302251,14.317,63.195,22.488,4.147,35.585
2043,medium,33129057,5195292,20763009,7170756,1311814,15.682,62.673,21.645,3.960,34.536
2043,high,35252197,5963003,21782862,7506332,1444951,16.915,61.792,21.293,4.099,34.460
2044,low,31566394,4514962,19919121,7132311,1339517,14.303,63.102,22.595,4.243,35.806
2044,medium,33394090,5231565,20914024,7248501,1350472,15.666,62.628,21.706,4.044,34.659
2044,high,35648618,6018985,22013241,7616392,1501640,16.884,61.751,21.365,4.212,34.599
2045,low,31729273,4534803,19987747,7206723,1376740,14.292,62.995,22.713,4.339,36.056
2045,medium,33654800,5267946,21057516,7329338,1389216,15.653,62.569,21.778,4.128,34.806
2045,high,36042657,6074555,22237236,7730866,1559669,16.854,61.697,21.449,4.327,34.765
