year,scenario,total_population
2024,low,26869019
2024,medium,26971766
2024,high,27095255
2025,low,27235315
2025,medium,27395011
2025,high,27594464
2026,low,27580551
2026,medium,27805684
2026,high,28086207
2027,low,27902964
2027,medium,28201094
2027,high,28570009
2028,low,28204391
2028,medium,28581272
2028,high,29042054
2029,low,28488756
2029,medium,28946317
2029,high,29500502
2030,low,28754774
2030,medium,29294970
2030,high,29944100
2031,low,29003323
2031,medium,29628141
2031,high,30373698
2032,low,29232681
2032,medium,29944139
2032,high,30788281
2033,low,29455940
2033,medium,30255082
2033,high,31200900
2034,low,29673319
2034,medium,30561214
2034,high,31611780
2035,low,29885092
2035,medium,30862815
2035,high,32021148
2036,low,30091582
2036,medium,31160201
2036,high,32429254
2037,low,30292784
2037,medium,31453335
2037,high,32836248
2038,low,30488939
2038,medium,31742414
2038,high,33242207
2039,low,30680281
2039,medium,32027609
2039,high,33647144
2040,low,30866912
2040,medium,32308944
2040,high,34050838
2041,low,31048868
2041,medium,32586368
2041,high,34453048
2042,low,31226136
2042,medium,32859780
2042,high,34853582
2043,low,31398665
2043,medium,33129057
2043,high,35252197
2044,low,31566394
2044,medium,33394090
2044,high,35648618
2045,low,31729273
2045,medium,33654800
2045,high,36042657
2046,low,31887151
2046,medium,33911034
2046,high,36434115
2047,low,32039916
2047,medium,34162704
2047,high,36822929
2048,low,32187550
2048,medium,34409841
2048,high,37209139
2049,low,32329935
2049,medium,34652393
2049,high,37592743
2050,low,32466996
2050,medium,34890378
2050,high,37973865
2051,low,32598771
2051,medium,35123948
2051,high,38352711
2052,low,32725307
2052,medium,35353281
2052,high,38729617
2053,low,32846736
2053,medium,35578653
2053,high,39104964
2054,low,32963157
2054,medium,35800310
2054,high,39479130
2055,low,33074749
2055,medium,36018580
2055,high,39852558
2056,low,33181609
2056,medium,36233685
2056,high,40225669
2057,low,33283914
2057,medium,36445900
2057,high,40598856
2058,low,33381830
2058,medium,36655452
2058,high,40972461
2059,low,33475528
2059,medium,36862520
2059,high,41346753
2060,low,33565236
2060,medium,37067287
2060,high,41721892
2061,low,33651180
2061,medium,37269885
2061,high,42097990
2062,low,33733579
2062,medium,37470402
2062,high,42474992
2063,low,33812657
2063,medium,37668912
2063,high,42852792
2064,low,33888603
2064,medium,37865441
2064,high,43231258
2065,low,33961606
2065,medium,38060030
2065,high,43610243
2066,low,34031792
2066,medium,38252663
2066,high,43989685
2067,low,34099312
2067,medium,38443367
2067,high,44369451
2068,low,34164217
2068,medium,38632078
2068,high,44749444
2069,low,34226525
2069,medium,38818718
2069,high,45129481
2070,low,34286154
2070,medium,39003121
2070,high,45509357
2071,low,34343015
2071,medium,39185129
2071,high,45888867
