"Total fertility rate by state or territory of usual residence"
,"2014","2023","2024"
"NSW(a)","1.723","1.548","1.460"
"Vic.(b)","1.715","1.392","1.521"
"Qld","1.910","1.544","1.505"
"SA","1.850","1.498","1.458"
"WA(c)","1.906","1.570","1.434"
"Tas.","1.963","1.514","1.485"
"NT","2.041","1.551","1.629"
"ACT","1.738","1.309","1.273"
"Aust.(d)","1.795","1.499","1.481"

" a. The decrease in births in New South Wales in 2024 (3.4%) was in part due to an increase in birth registration processing times in 2024. Refer to Processing the data, New South Wales, in Methodology for more information."
" b. The large increase in births in Victoria in 2024 (12.9%) was due to an improvement in birth registration processing times in 2024, following a period of processing delays. Refer to Processing the data, Victoria, in Methodology for more information."
" c. The decrease in births in Western Australia in 2024 (4.7%) was in part due to increased birth registrations in 2023 after a registration backlog was cleared. Refer to Processing the data, Western Australia, in Methodology for more information."
" d. Includes births registered in Norfolk Island."

" Source: Australian Bureau of Statistics, Births, Australia 2024"
